[2026-01-25T17:47:02.908+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.934+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.935+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T17:47:02.962+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T17:47:02.981+0000] {standard_task_runner.py:60} INFO - Started process 31153 to run task
[2026-01-25T17:47:02.997+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp3wduu174']
[2026-01-25T17:47:03.012+0000] {standard_task_runner.py:88} INFO - Job 19: Subtask fetch_and_store_swaps
[2026-01-25T17:47:03.182+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T17:49:06.646+0000] {logging_mixin.py:188} INFO - [17:49:06] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T17:49:08.137+0000] {logging_mixin.py:188} INFO - [17:49:08] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T17:49:09.803+0000] {logging_mixin.py:188} INFO - [17:49:09] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T17:49:11.071+0000] {logging_mixin.py:188} INFO - [17:49:11] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T17:49:12.608+0000] {logging_mixin.py:188} INFO - [17:49:12] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T17:49:14.260+0000] {logging_mixin.py:188} INFO - [17:49:14] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T17:49:15.779+0000] {logging_mixin.py:188} INFO - [17:49:15] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T17:49:17.809+0000] {logging_mixin.py:188} INFO - [17:49:17] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T17:49:19.689+0000] {logging_mixin.py:188} INFO - [17:49:19] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T17:49:21.594+0000] {logging_mixin.py:188} INFO - [17:49:21] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T17:49:23.130+0000] {logging_mixin.py:188} INFO - [17:49:23] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T17:49:24.576+0000] {logging_mixin.py:188} INFO - [17:49:24] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T17:49:26.276+0000] {logging_mixin.py:188} INFO - [17:49:26] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T17:49:27.862+0000] {logging_mixin.py:188} INFO - [17:49:27] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T17:49:29.408+0000] {logging_mixin.py:188} INFO - [17:49:29] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T17:49:30.934+0000] {logging_mixin.py:188} INFO - [17:49:30] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T17:49:32.505+0000] {logging_mixin.py:188} INFO - [17:49:32] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T17:49:33.976+0000] {logging_mixin.py:188} INFO - [17:49:33] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T17:49:35.294+0000] {logging_mixin.py:188} INFO - [17:49:35] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T17:49:36.702+0000] {logging_mixin.py:188} INFO - [17:49:36] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T17:49:38.327+0000] {logging_mixin.py:188} INFO - [17:49:38] Fetched 1000 swaps from token0_in (Total: 95000)
