[2026-01-25T16:37:24.514+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:37:24.532+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:60} INFO - Started process 35667 to run task
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpadwu87td']
[2026-01-25T16:37:24.541+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask fetch_and_store_swaps
[2026-01-25T16:37:24.576+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T16:41:13.646+0000] {logging_mixin.py:188} INFO - [16:41:13] Fetched 1000 swaps from token0_in (Total: 140000)
[2026-01-25T16:41:15.790+0000] {logging_mixin.py:188} INFO - [16:41:15] Fetched 1000 swaps from token0_in (Total: 141000)
[2026-01-25T16:41:18.316+0000] {logging_mixin.py:188} INFO - [16:41:18] Fetched 1000 swaps from token0_in (Total: 142000)
[2026-01-25T16:41:19.999+0000] {logging_mixin.py:188} INFO - [16:41:19] Fetched 1000 swaps from token0_in (Total: 143000)
[2026-01-25T16:41:21.912+0000] {logging_mixin.py:188} INFO - [16:41:21] Fetched 1000 swaps from token0_in (Total: 144000)
[2026-01-25T16:41:23.308+0000] {logging_mixin.py:188} INFO - [16:41:23] Fetched 1000 swaps from token0_in (Total: 145000)
[2026-01-25T16:41:24.956+0000] {logging_mixin.py:188} INFO - [16:41:24] Fetched 1000 swaps from token0_in (Total: 146000)
[2026-01-25T16:41:27.098+0000] {logging_mixin.py:188} INFO - [16:41:27] Fetched 1000 swaps from token0_in (Total: 147000)
[2026-01-25T16:41:28.525+0000] {logging_mixin.py:188} INFO - [16:41:28] Fetched 1000 swaps from token0_in (Total: 148000)
[2026-01-25T16:41:30.014+0000] {logging_mixin.py:188} INFO - [16:41:30] Fetched 1000 swaps from token0_in (Total: 149000)
[2026-01-25T16:41:31.532+0000] {logging_mixin.py:188} INFO - [16:41:31] Fetched 1000 swaps from token0_in (Total: 150000)
[2026-01-25T16:41:33.210+0000] {logging_mixin.py:188} INFO - [16:41:33] Fetched 1000 swaps from token0_in (Total: 151000)
[2026-01-25T16:41:34.745+0000] {logging_mixin.py:188} INFO - [16:41:34] Fetched 1000 swaps from token0_in (Total: 152000)
[2026-01-25T16:41:36.253+0000] {logging_mixin.py:188} INFO - [16:41:36] Fetched 1000 swaps from token0_in (Total: 153000)
[2026-01-25T16:41:37.801+0000] {logging_mixin.py:188} INFO - [16:41:37] Fetched 1000 swaps from token0_in (Total: 154000)
[2026-01-25T16:41:39.459+0000] {logging_mixin.py:188} INFO - [16:41:39] Fetched 1000 swaps from token0_in (Total: 155000)
[2026-01-25T16:41:41.033+0000] {logging_mixin.py:188} INFO - [16:41:41] Fetched 1000 swaps from token0_in (Total: 156000)
