[2026-01-25T16:26:36.681+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:26:36.693+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:26:34.610211+00:00
[2026-01-25T16:26:36.697+0000] {standard_task_runner.py:60} INFO - Started process 20537 to run task
[2026-01-25T16:26:36.700+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:26:34.610211+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp0si3bgh6']
[2026-01-25T16:26:36.703+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask fetch_and_store_swaps
[2026-01-25T16:26:36.742+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [running]> on host f2da44f39545
[2026-01-25T16:28:11.855+0000] {logging_mixin.py:188} INFO - [16:28:11] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T16:28:13.633+0000] {logging_mixin.py:188} INFO - [16:28:13] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T16:28:15.202+0000] {logging_mixin.py:188} INFO - [16:28:15] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T16:28:16.623+0000] {logging_mixin.py:188} INFO - [16:28:16] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T16:28:18.066+0000] {logging_mixin.py:188} INFO - [16:28:18] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T16:28:19.642+0000] {logging_mixin.py:188} INFO - [16:28:19] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T16:28:21.154+0000] {logging_mixin.py:188} INFO - [16:28:21] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T16:28:22.604+0000] {logging_mixin.py:188} INFO - [16:28:22] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T16:28:24.009+0000] {logging_mixin.py:188} INFO - [16:28:24] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T16:28:25.504+0000] {logging_mixin.py:188} INFO - [16:28:25] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T16:28:26.883+0000] {logging_mixin.py:188} INFO - [16:28:26] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T16:28:28.389+0000] {logging_mixin.py:188} INFO - [16:28:28] Fetched 1000 swaps from token0_in (Total: 70000)
[2026-01-25T16:28:29.953+0000] {logging_mixin.py:188} INFO - [16:28:29] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T16:28:31.549+0000] {logging_mixin.py:188} INFO - [16:28:31] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T16:28:33.193+0000] {logging_mixin.py:188} INFO - [16:28:33] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T16:28:34.727+0000] {logging_mixin.py:188} INFO - [16:28:34] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T16:28:36.231+0000] {logging_mixin.py:188} INFO - [16:28:36] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T16:28:37.610+0000] {logging_mixin.py:188} INFO - [16:28:37] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T16:28:38.959+0000] {logging_mixin.py:188} INFO - [16:28:38] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T16:28:40.442+0000] {logging_mixin.py:188} INFO - [16:28:40] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T16:28:42.211+0000] {logging_mixin.py:188} INFO - [16:28:42] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T16:28:44.152+0000] {logging_mixin.py:188} INFO - [16:28:44] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T16:28:45.592+0000] {logging_mixin.py:188} INFO - [16:28:45] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T16:28:47.012+0000] {logging_mixin.py:188} INFO - [16:28:47] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T16:28:48.609+0000] {logging_mixin.py:188} INFO - [16:28:48] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T16:28:49.988+0000] {logging_mixin.py:188} INFO - [16:28:49] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T16:28:51.421+0000] {logging_mixin.py:188} INFO - [16:28:51] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T16:28:52.851+0000] {logging_mixin.py:188} INFO - [16:28:52] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T16:28:54.453+0000] {logging_mixin.py:188} INFO - [16:28:54] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T16:28:55.926+0000] {logging_mixin.py:188} INFO - [16:28:55] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T16:28:57.378+0000] {logging_mixin.py:188} INFO - [16:28:57] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T16:28:58.965+0000] {logging_mixin.py:188} INFO - [16:28:58] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T16:29:00.624+0000] {logging_mixin.py:188} INFO - [16:29:00] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T16:29:02.090+0000] {logging_mixin.py:188} INFO - [16:29:02] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T16:29:03.573+0000] {logging_mixin.py:188} INFO - [16:29:03] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T16:29:05.060+0000] {logging_mixin.py:188} INFO - [16:29:05] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T16:29:06.497+0000] {logging_mixin.py:188} INFO - [16:29:06] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T16:29:08.097+0000] {logging_mixin.py:188} INFO - [16:29:08] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T16:29:09.659+0000] {logging_mixin.py:188} INFO - [16:29:09] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T16:29:11.034+0000] {logging_mixin.py:188} INFO - [16:29:11] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T16:29:12.469+0000] {logging_mixin.py:188} INFO - [16:29:12] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T16:29:14.064+0000] {logging_mixin.py:188} INFO - [16:29:14] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T16:29:16.040+0000] {logging_mixin.py:188} INFO - [16:29:16] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T16:29:17.715+0000] {logging_mixin.py:188} INFO - [16:29:17] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T16:29:19.176+0000] {logging_mixin.py:188} INFO - [16:29:19] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T16:29:20.893+0000] {logging_mixin.py:188} INFO - [16:29:20] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T16:29:22.308+0000] {logging_mixin.py:188} INFO - [16:29:22] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T16:29:23.740+0000] {logging_mixin.py:188} INFO - [16:29:23] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T16:29:25.103+0000] {logging_mixin.py:188} INFO - [16:29:25] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T16:29:26.804+0000] {logging_mixin.py:188} INFO - [16:29:26] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T16:29:28.404+0000] {logging_mixin.py:188} INFO - [16:29:28] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T16:29:30.147+0000] {logging_mixin.py:188} INFO - [16:29:30] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T16:29:31.586+0000] {logging_mixin.py:188} INFO - [16:29:31] Fetched 1000 swaps from token0_in (Total: 111000)
[2026-01-25T16:29:32.987+0000] {logging_mixin.py:188} INFO - [16:29:32] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T16:29:34.578+0000] {logging_mixin.py:188} INFO - [16:29:34] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T16:29:36.193+0000] {logging_mixin.py:188} INFO - [16:29:36] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T16:29:37.680+0000] {logging_mixin.py:188} INFO - [16:29:37] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T16:29:39.189+0000] {logging_mixin.py:188} INFO - [16:29:39] Fetched 1000 swaps from token0_in (Total: 116000)
[2026-01-25T16:29:40.684+0000] {logging_mixin.py:188} INFO - [16:29:40] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T16:29:42.152+0000] {logging_mixin.py:188} INFO - [16:29:42] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T16:29:43.661+0000] {logging_mixin.py:188} INFO - [16:29:43] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T16:29:45.135+0000] {logging_mixin.py:188} INFO - [16:29:45] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T16:29:46.469+0000] {logging_mixin.py:188} INFO - [16:29:46] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T16:29:47.887+0000] {logging_mixin.py:188} INFO - [16:29:47] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T16:29:49.654+0000] {logging_mixin.py:188} INFO - [16:29:49] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T16:29:51.100+0000] {logging_mixin.py:188} INFO - [16:29:51] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T16:29:52.640+0000] {logging_mixin.py:188} INFO - [16:29:52] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T16:29:54.124+0000] {logging_mixin.py:188} INFO - [16:29:54] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T16:29:55.693+0000] {logging_mixin.py:188} INFO - [16:29:55] Fetched 1000 swaps from token0_in (Total: 127000)
