[2026-01-25T17:30:11.482+0000] {logging_mixin.py:188} INFO - [17:30:11] Fetched 1000 swaps from token0_in (Total: 148000)
[2026-01-25T17:30:13.585+0000] {logging_mixin.py:188} INFO - [17:30:13] Fetched 1000 swaps from token0_in (Total: 149000)
[2026-01-25T17:30:15.396+0000] {logging_mixin.py:188} INFO - [17:30:15] Fetched 1000 swaps from token0_in (Total: 150000)
[2026-01-25T17:30:18.182+0000] {logging_mixin.py:188} INFO - [17:30:18] Fetched 1000 swaps from token0_in (Total: 151000)
[2026-01-25T17:30:19.842+0000] {logging_mixin.py:188} INFO - [17:30:19] Fetched 1000 swaps from token0_in (Total: 152000)
[2026-01-25T17:30:22.216+0000] {logging_mixin.py:188} INFO - [17:30:22] Fetched 1000 swaps from token0_in (Total: 153000)
[2026-01-25T17:30:23.780+0000] {logging_mixin.py:188} INFO - [17:30:23] Fetched 1000 swaps from token0_in (Total: 154000)
[2026-01-25T17:30:25.373+0000] {logging_mixin.py:188} INFO - [17:30:25] Fetched 1000 swaps from token0_in (Total: 155000)
[2026-01-25T17:30:26.993+0000] {logging_mixin.py:188} INFO - [17:30:26] Fetched 1000 swaps from token0_in (Total: 156000)
[2026-01-25T17:30:28.776+0000] {logging_mixin.py:188} INFO - [17:30:28] Fetched 1000 swaps from token0_in (Total: 157000)
[2026-01-25T17:30:30.390+0000] {logging_mixin.py:188} INFO - [17:30:30] Fetched 1000 swaps from token0_in (Total: 158000)
[2026-01-25T17:30:32.023+0000] {logging_mixin.py:188} INFO - [17:30:32] Fetched 1000 swaps from token0_in (Total: 159000)
[2026-01-25T17:30:34.099+0000] {logging_mixin.py:188} INFO - [17:30:34] Fetched 1000 swaps from token0_in (Total: 160000)
[2026-01-25T17:30:35.847+0000] {logging_mixin.py:188} INFO - [17:30:35] Fetched 1000 swaps from token0_in (Total: 161000)
[2026-01-25T17:30:37.316+0000] {logging_mixin.py:188} INFO - [17:30:37] Fetched 1000 swaps from token0_in (Total: 162000)
[2026-01-25T17:30:39.300+0000] {logging_mixin.py:188} INFO - [17:30:39] Fetched 1000 swaps from token0_in (Total: 163000)
[2026-01-25T17:30:41.481+0000] {logging_mixin.py:188} INFO - [17:30:41] Fetched 1000 swaps from token0_in (Total: 164000)
[2026-01-25T17:30:44.077+0000] {logging_mixin.py:188} INFO - [17:30:44] Fetched 1000 swaps from token0_in (Total: 165000)
[2026-01-25T17:30:45.914+0000] {logging_mixin.py:188} INFO - [17:30:45] Fetched 1000 swaps from token0_in (Total: 166000)
[2026-01-25T17:30:47.756+0000] {logging_mixin.py:188} INFO - [17:30:47] Fetched 1000 swaps from token0_in (Total: 167000)
[2026-01-25T17:30:49.256+0000] {logging_mixin.py:188} INFO - [17:30:49] Fetched 1000 swaps from token0_in (Total: 168000)
[2026-01-25T17:30:51.105+0000] {logging_mixin.py:188} INFO - [17:30:51] Fetched 1000 swaps from token0_in (Total: 169000)
[2026-01-25T17:30:53.080+0000] {logging_mixin.py:188} INFO - [17:30:53] Fetched 1000 swaps from token0_in (Total: 170000)
[2026-01-25T17:30:54.702+0000] {logging_mixin.py:188} INFO - [17:30:54] Fetched 1000 swaps from token0_in (Total: 171000)
[2026-01-25T17:30:56.352+0000] {logging_mixin.py:188} INFO - [17:30:56] Fetched 1000 swaps from token0_in (Total: 172000)
[2026-01-25T17:30:58.127+0000] {logging_mixin.py:188} INFO - [17:30:58] Fetched 1000 swaps from token0_in (Total: 173000)
[2026-01-25T17:30:59.680+0000] {logging_mixin.py:188} INFO - [17:30:59] Fetched 1000 swaps from token0_in (Total: 174000)
