[2026-01-25T15:06:03.189+0000] {logging_mixin.py:188} INFO - [15:06:03] Fetched 1000 swaps from token0_in (Total: 136000)
[2026-01-25T15:06:04.433+0000] {logging_mixin.py:188} INFO - [15:06:04] Fetched 1000 swaps from token0_in (Total: 137000)
[2026-01-25T15:06:05.688+0000] {logging_mixin.py:188} INFO - [15:06:05] Fetched 1000 swaps from token0_in (Total: 138000)
[2026-01-25T15:06:06.911+0000] {logging_mixin.py:188} INFO - [15:06:06] Fetched 1000 swaps from token0_in (Total: 139000)
[2026-01-25T15:06:08.216+0000] {logging_mixin.py:188} INFO - [15:06:08] Fetched 1000 swaps from token0_in (Total: 140000)
[2026-01-25T15:06:09.537+0000] {logging_mixin.py:188} INFO - [15:06:09] Fetched 1000 swaps from token0_in (Total: 141000)
[2026-01-25T15:06:10.846+0000] {logging_mixin.py:188} INFO - [15:06:10] Fetched 1000 swaps from token0_in (Total: 142000)
[2026-01-25T15:06:12.142+0000] {logging_mixin.py:188} INFO - [15:06:12] Fetched 1000 swaps from token0_in (Total: 143000)
[2026-01-25T15:06:13.416+0000] {logging_mixin.py:188} INFO - [15:06:13] Fetched 1000 swaps from token0_in (Total: 144000)
[2026-01-25T15:06:14.844+0000] {logging_mixin.py:188} INFO - [15:06:14] Fetched 1000 swaps from token0_in (Total: 145000)
[2026-01-25T15:06:16.474+0000] {logging_mixin.py:188} INFO - [15:06:16] Fetched 1000 swaps from token0_in (Total: 146000)
[2026-01-25T15:06:17.879+0000] {logging_mixin.py:188} INFO - [15:06:17] Fetched 1000 swaps from token0_in (Total: 147000)
[2026-01-25T15:06:19.048+0000] {logging_mixin.py:188} INFO - [15:06:19] Fetched 1000 swaps from token0_in (Total: 148000)
[2026-01-25T15:06:20.370+0000] {logging_mixin.py:188} INFO - [15:06:20] Fetched 1000 swaps from token0_in (Total: 149000)
[2026-01-25T15:06:21.627+0000] {logging_mixin.py:188} INFO - [15:06:21] Fetched 1000 swaps from token0_in (Total: 150000)
[2026-01-25T15:06:22.929+0000] {logging_mixin.py:188} INFO - [15:06:22] Fetched 1000 swaps from token0_in (Total: 151000)
[2026-01-25T15:06:24.129+0000] {logging_mixin.py:188} INFO - [15:06:24] Fetched 1000 swaps from token0_in (Total: 152000)
[2026-01-25T15:06:25.371+0000] {logging_mixin.py:188} INFO - [15:06:25] Fetched 1000 swaps from token0_in (Total: 153000)
[2026-01-25T15:06:26.809+0000] {logging_mixin.py:188} INFO - [15:06:26] Fetched 1000 swaps from token0_in (Total: 154000)
[2026-01-25T15:06:28.166+0000] {logging_mixin.py:188} INFO - [15:06:28] Fetched 1000 swaps from token0_in (Total: 155000)
[2026-01-25T15:06:29.554+0000] {logging_mixin.py:188} INFO - [15:06:29] Fetched 1000 swaps from token0_in (Total: 156000)
[2026-01-25T15:06:30.816+0000] {logging_mixin.py:188} INFO - [15:06:30] Fetched 1000 swaps from token0_in (Total: 157000)
[2026-01-25T15:06:32.135+0000] {logging_mixin.py:188} INFO - [15:06:32] Fetched 1000 swaps from token0_in (Total: 158000)
[2026-01-25T15:06:33.453+0000] {logging_mixin.py:188} INFO - [15:06:33] Fetched 1000 swaps from token0_in (Total: 159000)
[2026-01-25T15:06:34.748+0000] {logging_mixin.py:188} INFO - [15:06:34] Fetched 1000 swaps from token0_in (Total: 160000)
[2026-01-25T15:06:36.155+0000] {logging_mixin.py:188} INFO - [15:06:36] Fetched 1000 swaps from token0_in (Total: 161000)
[2026-01-25T15:06:37.428+0000] {logging_mixin.py:188} INFO - [15:06:37] Fetched 1000 swaps from token0_in (Total: 162000)
[2026-01-25T15:06:38.910+0000] {logging_mixin.py:188} INFO - [15:06:38] Fetched 1000 swaps from token0_in (Total: 163000)
[2026-01-25T15:06:40.046+0000] {logging_mixin.py:188} INFO - [15:06:40] Fetched 1000 swaps from token0_in (Total: 164000)
[2026-01-25T15:06:41.173+0000] {logging_mixin.py:188} INFO - [15:06:41] Fetched 1000 swaps from token0_in (Total: 165000)
[2026-01-25T15:06:42.437+0000] {logging_mixin.py:188} INFO - [15:06:42] Fetched 1000 swaps from token0_in (Total: 166000)
[2026-01-25T15:06:43.718+0000] {logging_mixin.py:188} INFO - [15:06:43] Fetched 1000 swaps from token0_in (Total: 167000)
[2026-01-25T15:06:44.858+0000] {logging_mixin.py:188} INFO - [15:06:44] Fetched 1000 swaps from token0_in (Total: 168000)
[2026-01-25T15:06:46.158+0000] {logging_mixin.py:188} INFO - [15:06:46] Fetched 1000 swaps from token0_in (Total: 169000)
[2026-01-25T15:06:47.348+0000] {logging_mixin.py:188} INFO - [15:06:47] Fetched 1000 swaps from token0_in (Total: 170000)
[2026-01-25T15:06:48.527+0000] {logging_mixin.py:188} INFO - [15:06:48] Fetched 1000 swaps from token0_in (Total: 171000)
[2026-01-25T15:06:48.797+0000] {logging_mixin.py:188} INFO - [15:06:48] Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-01-25T15:06:51.042+0000] {logging_mixin.py:188} INFO - [15:06:51] Fetched 1000 swaps from token0_in (Total: 172000)
[2026-01-25T15:06:52.241+0000] {logging_mixin.py:188} INFO - [15:06:52] Fetched 1000 swaps from token0_in (Total: 173000)
[2026-01-25T15:06:53.533+0000] {logging_mixin.py:188} INFO - [15:06:53] Fetched 1000 swaps from token0_in (Total: 174000)
[2026-01-25T15:06:54.892+0000] {logging_mixin.py:188} INFO - [15:06:54] Fetched 1000 swaps from token0_in (Total: 175000)
[2026-01-25T15:06:56.416+0000] {logging_mixin.py:188} INFO - [15:06:56] Fetched 1000 swaps from token0_in (Total: 176000)
[2026-01-25T15:06:57.780+0000] {logging_mixin.py:188} INFO - [15:06:57] Fetched 1000 swaps from token0_in (Total: 177000)
[2026-01-25T15:06:59.083+0000] {logging_mixin.py:188} INFO - [15:06:59] Fetched 1000 swaps from token0_in (Total: 178000)
[2026-01-25T15:07:00.449+0000] {logging_mixin.py:188} INFO - [15:07:00] Fetched 1000 swaps from token0_in (Total: 179000)
[2026-01-25T15:07:01.959+0000] {logging_mixin.py:188} INFO - [15:07:01] Fetched 1000 swaps from token0_in (Total: 180000)
[2026-01-25T15:07:03.499+0000] {logging_mixin.py:188} INFO - [15:07:03] Fetched 1000 swaps from token0_in (Total: 181000)
[2026-01-25T15:07:04.857+0000] {logging_mixin.py:188} INFO - [15:07:04] Fetched 1000 swaps from token0_in (Total: 182000)
[2026-01-25T15:07:06.153+0000] {logging_mixin.py:188} INFO - [15:07:06] Fetched 1000 swaps from token0_in (Total: 183000)
[2026-01-25T15:07:07.439+0000] {logging_mixin.py:188} INFO - [15:07:07] Fetched 1000 swaps from token0_in (Total: 184000)
[2026-01-25T15:07:09.102+0000] {logging_mixin.py:188} INFO - [15:07:09] Fetched 1000 swaps from token0_in (Total: 185000)
[2026-01-25T15:07:10.635+0000] {logging_mixin.py:188} INFO - [15:07:10] Fetched 1000 swaps from token0_in (Total: 186000)
[2026-01-25T15:07:12.093+0000] {logging_mixin.py:188} INFO - [15:07:12] Fetched 1000 swaps from token0_in (Total: 187000)
[2026-01-25T15:07:13.577+0000] {logging_mixin.py:188} INFO - [15:07:13] Fetched 1000 swaps from token0_in (Total: 188000)
[2026-01-25T15:07:15.086+0000] {logging_mixin.py:188} INFO - [15:07:15] Fetched 1000 swaps from token0_in (Total: 189000)
